Date,Arrivals
2017-06-14,120
2017-06-15,108
2017-06-16,118
2017-06-17,130
2017-06-18,119
2017-06-19,128
2017-06-20,118
2017-06-21,93
2017-06-22,114
2017-06-23,124
2017-06-24,116
2017-06-25,132
2017-06-26,126
2017-06-27,123
2017-06-28,104
2017-06-29,119
2017-06-30,124
2017-07-01,96
2017-07-02,118
2017-07-03,111
2017-07-04,110
2017-07-05,124
2017-07-06,110
2017-07-07,112
2017-07-08,118
2017-07-09,128
2017-07-10,151
2017-07-11,103
2017-07-12,112
2017-07-13,117
2017-07-14,130
2017-07-15,125
2017-07-16,137
2017-07-17,122
2017-07-18,124
2017-07-19,114
2017-07-20,107
2017-07-21,93
2017-07-22,121
2017-07-23,113
2017-07-24,134
2017-07-25,102
2017-07-26,101
2017-07-27,97
2017-07-28,108
2017-07-29,137
2017-07-30,125
2017-07-31,134
2017-08-01,123
2017-08-02,112
2017-08-03,110
2017-08-04,110
2017-08-05,126
2017-08-06,122
2017-08-07,129
2017-08-08,100
2017-08-09,112
2017-08-10,122
2017-08-11,112
2017-08-12,120
2017-08-13,123
2017-08-14,124
2017-08-15,116
2017-08-16,128
2017-08-17,112
2017-08-18,108
2017-08-19,130
2017-08-20,122
2017-08-21,113
2017-08-22,113
2017-08-23,95
2017-08-24,94
2017-08-25,118
2017-08-26,119
2017-08-27,128
2017-08-28,129
2017-08-29,109
2017-08-30,113
2017-08-31,94
2017-09-01,117
2017-09-02,107
2017-09-03,127
2017-09-04,131
2017-09-05,123
2017-09-06,123
2017-09-07,93
2017-09-08,127
2017-09-09,102
2017-09-10,128
2017-09-11,116
2017-09-12,145
2017-09-13,129
2017-09-14,117
2017-09-15,124
2017-09-16,114
2017-09-17,135
2017-09-18,120
2017-09-19,116
2017-09-20,136
2017-09-21,132
2017-09-22,118
2017-09-23,106
2017-09-24,114
2017-09-25,129
2017-09-26,120
2017-09-27,105
2017-09-28,100
2017-09-29,111
2017-09-30,106
2017-10-01,109
2017-10-02,141
2017-10-03,101
2017-10-04,127
2017-10-05,128
2017-10-06,106
2017-10-07,123
2017-10-08,122
2017-10-09,127
2017-10-10,86
2017-10-11,126
2017-10-12,91
2017-10-13,96
2017-10-14,117
2017-10-15,114
2017-10-16,137
2017-10-17,121
2017-10-18,126
2017-10-19,104
2017-10-20,114
2017-10-21,112
2017-10-22,93
2017-10-23,132
2017-10-24,95
2017-10-25,116
2017-10-26,100
2017-10-27,108
2017-10-28,108
2017-10-29,113
2017-10-30,124
2017-10-31,95
